Month,Region,Product,Units_Sold,Revenue,Cost,Profit,Sales_Rep
Jan-2024,North,Laptop,120,144000,96000,48000,Alice
Jan-2024,South,Laptop,95,114000,76000,38000,Bob
Jan-2024,East,Phone,210,63000,42000,21000,Carol
Jan-2024,West,Phone,180,54000,36000,18000,Dave
Jan-2024,North,Tablet,75,37500,22500,15000,Alice
Jan-2024,South,Tablet,60,30000,18000,12000,Bob
Feb-2024,North,Laptop,135,162000,108000,54000,Alice
Feb-2024,South,Laptop,110,132000,88000,44000,Bob
Feb-2024,East,Phone,225,67500,45000,22500,Carol
Feb-2024,West,Phone,195,58500,39000,19500,Dave
Feb-2024,North,Tablet,80,40000,24000,16000,Alice
Feb-2024,South,Tablet,70,35000,21000,14000,Bob
Mar-2024,North,Laptop,150,180000,120000,60000,Alice
Mar-2024,South,Laptop,125,150000,100000,50000,Bob
Mar-2024,East,Phone,240,72000,48000,24000,Carol
Mar-2024,West,Phone,210,63000,42000,21000,Dave
Mar-2024,North,Tablet,90,45000,27000,18000,Alice
Mar-2024,South,Tablet,85,42500,25500,17000,Bob
Apr-2024,North,Laptop,140,168000,112000,56000,Alice
Apr-2024,South,Laptop,115,138000,92000,46000,Bob
Apr-2024,East,Phone,230,69000,46000,23000,Carol
Apr-2024,West,Phone,200,60000,40000,20000,Dave
Apr-2024,North,Tablet,85,42500,25500,17000,Alice
Apr-2024,South,Tablet,75,37500,22500,15000,Bob
May-2024,North,Laptop,160,192000,128000,64000,Alice
May-2024,South,Laptop,130,156000,104000,52000,Bob
May-2024,East,Phone,260,78000,52000,26000,Carol
May-2024,West,Phone,220,66000,44000,22000,Dave
May-2024,North,Tablet,95,47500,28500,19000,Alice
May-2024,South,Tablet,80,40000,24000,16000,Bob
Jun-2024,North,Laptop,175,210000,140000,70000,Alice
Jun-2024,South,Laptop,145,174000,116000,58000,Bob
Jun-2024,East,Phone,275,82500,55000,27500,Carol
Jun-2024,West,Phone,235,70500,47000,23500,Dave
Jun-2024,North,Tablet,100,50000,30000,20000,Alice
Jun-2024,South,Tablet,90,45000,27000,18000,Bob
